,step,batch accuracy,validation accuracy,loss
,0,13.28125,7.782101167,12.7309
,50,17.96875,16.73151751,2.80045
,100,13.28125,15.95330739,2.73019
,150,15.625,16.73151751,2.70616
,200,15.625,16.73151751,2.73032
,250,24.21875,16.73151751,2.57428
,300,17.1875,16.73151751,2.54896
,350,17.96875,17.50972763,2.59727
,400,21.09375,19.06614786,2.50428
,450,17.96875,22.17898833,2.48684
,500,19.53125,28.40466926,2.44341
,550,27.34375,33.07392996,2.27317
,600,33.59375,39.68871595,2.08704
,650,39.0625,39.29961089,1.99438
,700,45.3125,55.25291829,1.9027
,750,57.8125,65.36964981,1.58823
,800,58.59375,68.48249027,1.62875
,850,64.0625,73.15175097,1.41733
,900,67.96875,78.21011673,1.37927
,950,60.9375,80.15564202,1.33921
,1000,67.96875,78.59922179,1.20979
,1050,73.4375,80.15564202,1.21907
,1100,79.6875,77.82101167,0.883194
,1150,71.875,82.49027237,1.11833
,1200,74.21875,82.49027237,0.969044
,1250,74.21875,81.71206226,1.07516
,1300,80.46875,83.26848249,0.859256
,1350,75.78125,82.87937743,1.03708
,1400,84.375,84.04669261,0.748692
,1450,82.03125,85.21400778,0.860207
,1500,87.5,83.65758755,0.67486
,1550,75.78125,83.26848249,0.901804
,1600,77.34375,85.60311284,0.908869
,1650,82.03125,85.9922179,0.82747
,1700,83.59375,87.15953307,0.790268
,1750,83.59375,86.38132296,0.809145
,1800,88.28125,86.77042802,0.561937
,1850,84.375,85.21400778,0.763677
,1900,86.71875,86.77042802,0.599324
,1950,83.59375,90.27237354,0.701582
,2000,78.90625,86.38132296,0.769652
,2050,89.84375,86.38132296,0.495143
,2100,79.6875,88.71595331,0.732933
,2150,82.03125,88.71595331,0.682146
,2200,83.59375,87.15953307,0.719159
,2250,81.25,86.38132296,0.783829
,2300,88.28125,88.71595331,0.502089
,2350,81.25,86.38132296,0.79748
,2400,82.8125,86.38132296,0.70929
,2450,77.34375,90.6614786,0.937018
,2500,78.125,87.93774319,0.966241
,2550,81.25,86.38132296,0.737054
,2600,81.25,88.32684825,0.662798
,2650,90.625,89.10505837,0.498924
,2700,87.5,91.05058366,0.518558
,2750,84.375,88.32684825,0.681132
,2800,85.15625,88.71595331,0.563227
,2850,77.34375,88.32684825,0.962036
,2900,85.15625,88.32684825,0.752159
,2950,82.03125,87.15953307,0.681545
,3000,87.5,88.71595331,0.517741
,3050,85.15625,88.32684825,0.545434
,3100,88.28125,90.27237354,0.516464
